"range","field","moment","reciprocal","norm","magnetization"
200.1,-178.36,-14.9005,-0.00560663825969948,-0.99678897548249,-367.302741573034
200.1,-167.54,-14.8835,-0.00596872388683299,-0.995651737632538,-366.883685393258
200.1,-156.73,-14.8545,-0.00638039941300325,-0.993711743653209,-366.168824851289
200.1,-145.92,-14.8195,-0.0068530701754386,-0.991370371609192,-365.306062128222
200.1,-135.11,-14.8125,-0.00740137665605803,-0.990902097200388,-365.133509583609
200.1,-124.3,-14.7825,-0.0080450522928399,-0.988895206876944,-364.393998678123
200.1,-113.49,-14.7525,-0.00881134901753458,-0.9868883165535,-363.654487772637
200.1,-102.67,-14.7145,-0.00973994350832765,-0.984346255477138,-362.717773959022
200.1,-91.862,-14.6745,-0.010885894058479,-0.981670401712546,-361.731759418374
200.1,-81.053,-14.6325,-0.0123376062576339,-0.978860755259725,-360.696444150694
200.1,-70.241,-14.5815,-0.0142366993636195,-0.97544904170987,-359.439275611368
200.1,-59.431,-14.5045,-0.0168262354663391,-0.970298023213031,-357.541197620621
200.1,-48.621,-14.4145,-0.0205672446062401,-0.9642773522427,-355.322664904164
200.1,-37.809,-14.2665,-0.0264487291385649,-0.95437669331371,-351.674411103767
200.1,-26.992,-14.0055,-0.0370480142264375,-0.936916747499749,-345.240666226041
200.1,-16.187,-13.4555,-0.0617779699759066,-0.900123758236612,-331.682966292135
200.1,-5.3773,-11.0295,-0.185966935078943,-0.737833227414122,-271.881184401851
200.1,5.4356,10.7185,0.183972330561484,0.717028464394421,264.214921348315
200.1,16.245,13.3175,0.0615574022776239,0.890892062748771,328.2812161269
200.1,27.059,13.9195,0.0369562807199083,0.931163661905877,343.120734963648
200.1,37.865,14.1955,0.0264096130991681,0.94962705288156,349.924235294118
200.1,48.678,14.3285,0.0205431611816426,0.958524266648828,353.202733641771
200.1,59.487,14.4415,0.0168103955486073,0.966083553533799,355.988224719101
200.1,70.307,14.5235,0.0142233348030779,0.971569053751213,358.009554527429
200.1,81.109,14.5835,0.0123290880173594,0.9755828343981,359.488576338401
200.1,91.923,14.6285,0.0108786701913558,0.978593169883266,360.597842696629
200.1,102.73,14.6795,0.00973425484279178,0.982004883433121,361.855011235955
200.1,113.54,14.7015,0.00880746873348599,0.983476603003646,362.397319233311
200.1,124.35,14.7515,0.00804181745074387,0.986821420209386,363.629837409121
200.1,135.17,14.8015,0.00739809129244655,0.990166237415125,364.862355584931
200.1,145.98,14.8155,0.006850253459378,0.991102786232732,365.207460674157
200.1,156.79,14.8455,0.00637795777791951,0.993109676556176,365.946971579643
200.1,167.6,14.8655,0.00596658711217184,0.994447603438472,366.439978849967
200.1,178.41,14.8945,0.00560506698055042,0.996387597417801,367.154839391937
200.1,189.22,14.9185,0.00528485360955501,0.997993109676556,367.746448116325
200.1,200.03,14.9485,0.00499925011248313,1,368.485959021811
2.5,2.5,7.59145,0.4,0.507840251530254,187.132002115003
2.5,2.3995,7.37775,0.416753490310481,0.493544502792923,181.864219431593
2.5,2.3,7.18235,0.434782608695652,0.480472957152892,177.047538400529
2.5,2.1996,6.97515,0.454628114202582,0.466612034652306,171.939983079974
2.5,2.0999,6.76275,0.476213153007286,0.452403251162324,166.704245869134
2.5,2.0002,6.53175,0.4999500049995,0.436950195671806,161.010011896894
2.5,1.9007,6.30325,0.526121955069185,0.421664381041576,155.377403833444
2.5,1.7998,6.05325,0.55561729081009,0.404940295012878,149.214812954395
2.5,1.7002,5.79875,0.588166098106105,0.387915175435663,142.941295439524
2.5,1.6,5.53205,0.625,0.370073920460247,136.367043489755
2.5,1.4999,5.24585,0.666711114074272,0.350928186774593,129.312109451421
2.5,1.4002,4.95935,0.714183688044565,0.331762384185704,122.249780304032
2.5,1.2996,4.65905,0.769467528470299,0.311673412048032,114.847276140119
2.5,1.2004,4.36075,0.833055648117294,0.291718232598589,107.494072703239
2.5,1.0998,4.03275,0.909256228405165,0.269776231728936,99.4087534699273
2.5,0.99921,3.70055,1.00079062459343,0.247553266214001,91.219902709848
2.5,0.89958,3.36775,1.11162987171791,0.225290162892598,83.016261731659
2.5,0.80023,3.00645,1.24964072829062,0.201120513763923,74.1100853932584
2.5,0.69953,2.65985,1.42953125670093,0.177934240893735,65.5662693985459
2.5,0.60024,2.30575,1.66600026656004,0.154246245442687,56.837575677462
2.5,0.49986,1.89715,2.00056015684392,0.126912399237382,46.7654371447455
2.5,0.40014,1.53815,2.49912530614285,0.102896611700171,37.9159566424323
2.5,0.29943,1.14735,3.33967872290686,0.0767535204201091,28.282594580304
2.5,0.20012,0.75754,4.99700179892065,0.0506766565207213,18.6736363780568
2.5,0.099381,0.35214,10.0622855475393,0.0235568786165836,8.68037900859221
2.5,0.00044537,-0.0359399999999997,2245.32411253564,-0.00240425460748572,-0.885934064771969
2.5,-0.10008,-0.43926,-9.99200639488409,-0.0293848881158644,-10.8279186781229
2.5,-0.20128,-0.82927,-4.96820349761526,-0.0554751312840753,-20.4418069530734
2.5,-0.30026,-1.22945,-3.33044694598015,-0.0822457102719336,-30.3063894249835
2.5,-0.39992,-1.62955,-2.50050010002,-0.109010937552263,-40.1689998678123
2.5,-0.50054,-1.99675,-1.99784233028329,-0.133575275111215,-49.2206133509584
2.5,-0.60047,-2.37685,-1.66536213299582,-0.159002575509248,-58.5902165234633
2.5,-0.7,-2.74825,-1.42857142857143,-0.183847877713483,-67.7453615333774
2.5,-0.8,-3.10205,-1.25,-0.207515804261297,-76.4666601454065
2.5,-0.89994,-3.45315,-1.11118519012379,-0.231003110680001,-85.1214027759418
2.5,-1.003,-3.81195,-0.997008973080758,-0.255005518948389,-93.9659532055519
2.5,-1.0999,-4.13445,-0.909173561232839,-0.276579589925411,-101.915695439524
2.5,-1.1998,-4.45275,-0.833472245374229,-0.29787269625715,-109.761906146728
